first	second	opt	dist	bytes
11100111000011101011111000010001000	11111101001101010001001010010011000	17	18	771050656
11110010011110000110010010101110000	11111100100100010100101110100100100	11	11	81605776
11110011110010001001100101010010100	11100011010011101010001110011001000	16	16	605627744
11101011010000110011111000010010100	11111110000101100100101001001110000	16	16	568736520
11111010001001001110010100110011000	11110110001110000110011000101100100	8	8	5446400
11111000110011010010001110100011000	11110010011001010100111001101100000	15	15	384402464
11110100010011001110011001100011000	11011110101010010011000110110000100	13	13	190611208
11110011100010011010100110010010100	11011001110001101001010011010010100	16	16	710630848
10111011101000101110000101001101000	11111100001111101000100010100011000	16	16	497658312
11110011000111000101001111000110000	11110100011000111101100010011000100	15	15	585496568
11111001011000100101100110010100100	11110100011100011000111010001100100	16	16	699885280
11010111101000111000100101100101000	11100100110111011100100000110011000	16	16	680461456
11101100100100111001011001100100100	11100110110010100101010011001100100	14	14	351170608
11101010110110110000001111000100100	11001011010011011100001111010001000	18	19	681963424
11100110111010001001001011110000100	11010100111110000100111100110000100	14	14	312415600
11100100111010010011011000101100100	11100110011010110001100100111010000	10	10	44450264
11110001101001001110010010111001000	11011100110001111010010010100011000	19	19	972395208
10111111011001000011011001000100100	11001110001111100100101010010100100	14	14	311470416
11111001010100011001001110001100100	11010011110011010001011110001001000	22	22	1051218616
11111110001110100110010010001000100	11111010110000011010100100110100100	18	18	873819280
11110001100101110010001110001100100	11011001100100111001001110011010000	14	14	367228952
11110011000111011001001110000011000	11111010000110010011100100101100100	18	18	891305960
11110001101100011001010011011000100	11111000110100011101010001100101000	12	12	149965808
11111001000101011100100010111100000	11111000011100011101100010011001000	13	13	162723224
11111010110000100110001110010011000	11011101011000101001001100110011000	11	11	57436712
11111101001000101110010000110011000	11111011010011101000001110001100000	19	20	947270184
11111001001100011001001101100100100	11111100111000100101010001001110000	9	9	17130088
11111100110000100011011000110010100	11100011110011001001100010110011000	13	13	176022384
11110001100011001110110001110000100	11110010011010001011001101001110000	14	15	347859528
11110101001010011100011000111001000	11101001110010100111100100001100100	18	18	983657088
11011010010011110100011101000011000	11100110010011100110001101101000100	13	13	220894760
11110100011011100010010011110000100	11101100011001010011010011001010100	11	11	72114416
11111100101100100100010011001110000	11101100011101110010000011001100100	11	12	79508768
11111000101101000110101100010010100	11001111011000100110010011001100100	16	16	525224536
11001101100011110100001100110011000	11001011101101110000100101001100100	15	15	525550504
11110011000110100111001001001011000	11011110100110000111001000110011000	13	13	222305336
11110000111001011100010100101011000	11110010100111001101010001110010000	19	19	998106104
11111010001100010011110000101100100	11111100010101001111001000010011000	11	11	70065376
11101010010011111100001000110011000	11110100101110010000110011100010100	12	12	152635160
11101000111110110010001010100010100	11110100100111110000010011011000100	13	13	227176864
11111110000100111001001100011010000	11100011110011100010011100001110000	13	13	204436832
11110100011101010000101110011001000	11111010011011100011000100101100000	14	14	239461632
11110100001111100100011101001000100	11011000111100010011011010010100100	9	9	9535576
11100011011110001010010010111100000	11110001110011100100100110001110000	17	17	763255776
11111100001101001010111000001010100	11111000010100111010010110001100100	10	10	36221552
11001011101001100110001110101000100	11110001111110010011000010001101000	17	17	817081832
11110010010011010111101000100100100	11011110001010101100100101001101000	17	17	714455920
10111010110001110010010011001100100	11110011100001111000101001001100100	9	9	9863568
11010011110010010011001111000101000	11110001011001010011010100111000100	13	13	221157904
11100101001110011100100101001100100	11100111100100011110001100010010100	15	15	610111368
11111001101000010110001011001110000	11010011111100001000110100110110000	15	15	335006840
11111000011000111110001001100010100	11111001111010110000001100101000100	10	10	31835224
11100011101010100111010001011000100	11111001001101001101001001001101000	18	18	962891376
11100110101010110001110010001110000	11101001110100010100111001011000100	20	20	1062399976
11100111011100110000110110000101000	11111100010101001100010100111000100	16	16	572344792
11111000111001001111001001100010000	11110110000101001100111100001100100	18	18	933309720
11101110010001101010010110010010100	11011000110101010011110000111010000	18	18	856985504
11011100101100011010010011001110000	11011001100101001101110000110010100	17	17	836470448
11110010001111101000100110010011000	11101011010011010010011100100010100	14	14	343315872
11011001100011110001011000110100100	11100111011000100110011010001100100	12	12	144312752
11001101001111011000100101100100100	11001110101111000110100001110100000	17	17	858603544
11100110101000111001100011110001000	10111101100100101100101100010110000	15	15	435650320
11111101000001001011001110011010000	11010011110110001001101001010011000	17	17	644883480
11111101000111100100100110100100000	11111110001010011010010010100011000	16	17	651264536
11100100111100111001001010011000100	11110110001001110100101100010010100	11	11	74990032
11011000110110100101001110011001000	11101010010101001101001101100010100	9	9	16499488
11110011010001101001001101110001000	11110010011100110001101000111001000	15	15	474334264
10111001001100111110010001010010100	11100011110101001010100110011000100	13	13	212135912
11100110101001001101110100010010100	11111110100000110110000100110010100	17	17	743686992
11111010010010011100100101001100100	11111100110010100001100100111000100	14	14	392827176
11001101110010010100110011010010100	11111100110011010100001001101000100	13	13	234088080
11111001001100100111000100111000100	11010011111101000101100100100010100	15	15	614300376
11111100110010010001101010100010100	11011010011001001101010100110010100	12	12	82762752
11100011101101010100001110100100100	11110110101100011100001100100011000	18	19	798615920
11111101000110100101000110010100100	11101001001111001000101100110011000	12	12	95052664
10111101001100101110010001010011000	11010111101001110000100010111001000	14	14	312986600
