first	second	opt	dist	central	visited
11001101001110011001000	11101110000101001100100	11	11	12	444224
11110111000010101010000	11110001101001001010100	12	12	14	479960
11100101111100001010000	11101100010101001101000	12	12	13	487896
11010111000100101110000	11101001111000100010100	12	12	14	486920
11010010111001001100100	11110011100001010011000	12	12	15	482624
11001101110100101000100	11101001100101001101000	12	12	13	465224
11001111001001010100100	11010011100111100001000	13	13	15	492728
11111001010000111100000	10111101100110011000000	13	14	15	491224
10110110100010111000100	11100100111010001011000	12	12	15	455656
11110001010110100011000	11111011000100011010000	12	12	14	496080
11101001101001101000100	11110010010100110101000	12	12	14	488312
11100111000100111001000	11011001010011001100100	12	12	14	493504
10111001111100001100000	11100100111010010110000	11	11	14	478072
11110101000100110011000	11100010111100100100100	12	12	13	462832
11001110111000001011000	11110100011110001000100	13	13	15	481168
11100110001011101001000	11101001101000101100100	13	13	15	482496
10110101011011011000000	11111000100100110010100	13	14	15	472240
11100101100100101110000	11101011001001010010100	11	11	14	454864
11100110100011011001000	11011100011110000010100	13	13	14	483536
11110011000100110100100	11011000110011100011000	12	12	15	464512
11011001001100111001000	11100100111100001010100	11	11	14	436424
11100111101100001000100	11101100010110100011000	13	13	13	489408
10111100001101001011000	11110001101000111000100	13	13	15	484336
11110001100011001100100	10111110001000110011000	10	10	14	384080
11011000111100100110000	11100011111000011000100	12	12	13	489280
11100110110100011001000	11010101001101001100100	13	13	14	486480
11011010100101001011000	11110011100101100100000	12	12	14	480272
11010110010101001110000	11101001010011010011000	11	11	11	526344
11001111000110011001000	11011001101000101110000	12	12	13	486792
11101100001101001010100	11001110100011010101000	11	11	15	423232
11010100110011110010000	11111000100110010010100	12	12	15	485000
11011000111111100000000	11110010110000111000100	11	11	11	533672
10111011001001010100100	11100101011010010011000	12	12	13	488192
11100111001100100010100	11011001110010011010000	15	15	16	485360
11110100100111100100000	11100100111001110000100	11	11	14	463400
11110100001011100101000	11111001100100010100100	11	11	14	410088
11101011000110001011000	11001011101110001000100	13	13	15	485416
11011001001101001010100	11001111000011101001000	10	10	14	402520
11111001000100110101000	11101110011000101010000	12	12	15	477992
11010011001101101100000	10111010010011001100100	11	11	14	367280
11111000011101001010000	11101010100101100010100	13	13	14	486072
11101011011010001000100	11011001001101001110000	14	14	15	486936
11110100100110101001000	11110010010100111010000	10	10	13	409312
11010011110000110010100	11100100111100110010000	12	12	14	494400
10111110010000110101000	11100111000110100100100	13	13	15	485016
11101000111010011100000	11010111000011100100100	13	13	14	490080
11101101000100111001000	11010101100011001010100	11	11	14	447128
11010011100100101100100	11110010010011100011000	11	11	15	463592
11111101000100011010000	11001101100100101010100	11	11	13	409032
11101001001110011000100	11101010011000101110000	10	10	14	410464
10111100100011101001000	11001110001101010100100	10	10	15	363352
11101010011100110000100	11110001110000110110000	13	13	14	494568
11011100001110011100000	11100111111000000100100	11	11	13	458440
11101001011100011000100	11100110001101001011000	14	14	15	489840
10110110110100001010100	11111001010001110010000	13	13	14	478120
10111100100110011010000	11110001010010101010100	12	12	16	476552
11101001011101000100100	11110101010010101001000	12	13	14	485784
11111001000101100010100	10111110000100111010000	12	12	15	458344
11110101001010001011000	11010010101011011000100	11	11	15	392928
11011101001000110110000	11111000100111000010100	14	14	15	487776
11100111101001100000100	11010010111000101101000	13	14	15	488072
11101110000110001011000	11100101010010110100100	12	12	15	459856
11110100001011001100100	11110011010000110011000	10	10	16	353920
10111001011000110100100	11110010001011101001000	13	14	14	489544
11110110001001110000100	11110010110010010011000	12	12	15	484376
11101011000110010011000	11011100111000100110000	12	12	14	492688
11100101100100101011000	11011010001011011000100	11	11	13	449208
11011101000011001110000	11101001001110011000100	11	11	14	412832
11010011110001100101000	10110100110011010010100	10	10	14	386680
10111110001001100010100	11101011000110010110000	13	13	14	488400
11010110010011001110000	11101001111010100000100	12	12	14	490192
11011110000111000100100	11100010111001010011000	13	13	15	492752
11101100001101010100100	11110001100011001011000	10	10	15	358048
11010101001110010011000	11101010010011100100100	11	11	13	496160
11111000010011100101000	10110011100110001100100	11	11	14	426904
11110011101001000100100	10110100111001010011000	14	14	15	483880
11101100011000110011000	11100110001011001100100	11	11	15	422880
10111011001001010011000	11110001011101000100100	14	14	15	489216
11100100101110101000100	11010011101100010101000	13	13	15	484696
11101000111100100100100	11001111000010110101000	11	11	14	460464
11011001001110010011000	11110000111000110100100	10	10	14	401928
11101101010011100001000	11001100110011101000100	13	13	14	496832
11010110110000101011000	11011100001011100100100	12	12	15	432312
11011100011000111001000	11111000110001001100100	12	12	14	486752
10110100101111000011000	11010011111000100100100	11	11	13	451064
11001101110000101101000	11101101110000100100100	11	11	14	427248
11001110101011010001000	11101010011000111000100	13	13	14	491040
11001110010110001101000	11011001001110110010000	11	11	12	467584
11001111010011000100100	11101001011001001011000	10	10	12	411016
11110010011010001110000	10111111001100001001000	13	13	14	492760
11110011010001101010000	11101001101101000010100	14	14	15	487528
11011110111000000011000	11010011100011100100100	12	12	14	454832
11001100111001001100100	11110100010101010011000	10	10	13	413736
11111110001101000001000	11101010001101001110000	11	11	14	431088
11100111001000101110000	11011101010001011001000	11	11	14	418304
11110111000100101001000	11101011010010001110000	11	11	15	466736
10111000111100011000100	11111001000100101110000	10	10	13	372728
11101010011110100001000	11110100111000001100100	11	11	13	494968
11110011000010101100100	10111000110111000011000	12	12	15	441992
10111110011001010000100	11001111001100011010000	13	14	15	487848
11010100110101100010100	11010011110000111100000	11	11	14	456560
11101101001000101011000	11110001001101110000100	12	12	14	440688
11110100101010001100100	11110010110001111000000	11	11	13	449104
11010110001111010001000	11010011011000101010100	12	12	13	495776
11101100111000110010000	11100010110100111001000	13	13	14	491504
11110100010101001110000	11001111000111001100000	11	11	13	489008
11100011101000111000100	10111100100110001101000	12	12	14	477352
10111100100101010010100	11100100110011001101000	12	12	14	487128
11010011011001001110000	11110010001110010010100	12	12	14	492968
11101001001010110011000	11110010010110001100100	10	10	15	375928
11010011101101000011000	11110010001011100100100	13	13	15	486744
11101100001111000110000	11100011010011110100000	12	12	14	459256
10111110010011000110000	11110001010011010010100	13	13	15	491136
11110010101001100011000	11101000110110001100100	11	11	14	470560
11100101101001010011000	11011001001110100100100	12	12	13	499936
11100110001101100110000	11010011101100011001000	12	12	14	472040
10111100100100111100000	11100110010101001011000	12	12	14	498600
11010011110001110000100	11011011001011000101000	13	13	14	492240
11100110100100111100000	11011100010011100011000	12	12	13	501088
11110001111000001100100	11101101001100010011000	11	11	15	462536
10101111001110000101000	11100101001111000100100	11	11	13	437824
11110101100100101000100	11010011110001100110000	12	12	12	478464
11110010001111000100100	11101001100011010011000	11	11	14	464184
11101100010011110100000	11111100011100010001000	10	10	12	391080
11101100001100110100100	11010111000011001101000	11	11	15	419208
11001110001110100010100	11110110011001001100000	12	12	14	485136
11010100110011010010100	11100101001101001101000	10	10	15	404608
11100101110100100011000	11011010100100101100100	13	13	15	488464
11111000011001001100100	11011001101010011100000	12	12	14	484608
10111100001111001001000	11100011111000001100100	12	12	13	485880
11001111010001100011000	11110101001100011000100	12	12	14	483848
11101110010010100110000	11110001101000111000100	12	12	14	492192
11110101000110100101000	10101110100100111000100	13	14	14	483648
11011001110010100101000	10111011000101010010100	11	11	14	458776
11100100111001100100100	11110100101010001011000	11	11	14	470072
10111011010010010100100	11100110010010110011000	11	11	14	438776
11111110000100010100100	10111000111010011001000	11	11	14	445616
11100111100001011000100	11010011010100110110000	12	12	13	489232
11011000111011100001000	11100011101000110100100	13	13	14	491752
11001110100110101001000	11101110110010010010000	13	13	14	487952
10111100011000111000100	11001111010011100010000	12	12	14	488816
11111000110010010110000	11110101000101010011000	10	10	14	411072
11110010010100110101000	11110111000001001100100	10	10	15	389768
11011001010100110011000	11011010010011100110000	11	11	13	493712
11101010011100010100100	11111000100111000011000	11	11	14	497664
11101001100110001110000	11001111010100100010100	10	10	12	429344
10111011000101001110000	11110001110001010010100	13	13	14	493800
11100011100101010011000	11011100010011100100100	11	11	13	473648
11010101010011001101000	11101100100100111100000	10	10	13	420704
11001110001100111000100	11011100111000110001000	14	14	15	486976
11100100111011000100100	11011100111100010001000	13	13	15	487832
11101001001111000010100	11100110010011101001000	11	11	14	477648
11001011011010011100000	11101001110100100100100	11	11	13	417896
11100100110111000110000	11010011110010110001000	10	10	14	362344
11010011101001100011000	11011010100110001100100	11	11	14	481952
11010101100100101011000	11011100011001100100100	12	12	14	487280
11100101010011101001000	11010011001100101010100	10	10	13	436384
11010111010011010100000	11110001011001001110000	12	12	13	471400
11111000100100110101000	11010100110011010010100	11	11	15	415632
11100100111001010010100	10110011111100010010000	12	12	13	478304
11100101001110010011000	10110011011100001100100	12	12	14	487512
10111101110000100010100	11001110110100011100000	12	12	13	479920
11010101001110001101000	11110010010011010100100	11	11	13	467032
10111111010001001010000	11100110100011100011000	13	13	14	490864
11101100001110001110000	11110001110001110000100	11	11	15	436040
11001101100111000100100	10111000111000110011000	13	13	15	488832
10111010010100110010100	11110011011000110010000	14	14	15	490672
11001111100100101001000	11110100100011100100100	12	12	13	492784
11011100100110011100000	11111100100100100010100	14	15	16	488576
11110001100110010011000	11011010001011001100100	12	12	14	494992
10111010101010001011000	11110010100110100100100	12	12	14	461736
11100111000101011000100	11101001001111000110000	10	10	12	414360
10111101001100010011000	11010101100110001100100	11	11	13	472848
11101010100111000100100	11111000110100010101000	11	11	13	504312
11100111100010001101000	11011000111110000010100	10	10	12	400760
11100110010010110100100	10110101001111000011000	12	12	13	462104
11001110100011110010000	11011100010110001010100	12	12	13	487976
11010011010110001100100	11110011100001100101000	12	12	13	484808
10101101110011010001000	11010110001010110010100	12	12	13	467600
11101001100111000010100	11100101010011001110000	11	11	14	462848
11101010101001100100100	11100110001110010011000	12	12	13	504992
11100110010011001100100	11110100011010010011000	11	11	15	464024
11010101001011001100100	11010111001001010101000	11	11	13	469952
11011110000011110010000	11110000111100011100000	10	10	13	386056
11001111100001110000100	11111010010011001001000	12	12	14	492640
11101100110000110101000	11110011000111010000100	14	14	14	486424
10111011100010010011000	11101100011000110100100	10	10	12	366032
11011001001010111000100	11111100100100100101000	13	13	16	485504
11001100111001001011000	11011001001100110110000	12	12	15	484216
11100011001101001110000	11010111100010101000100	12	12	15	477560
11110101001001100100100	11001101010100110011000	12	12	14	487712
11110110001100011001000	11110001110001001010100	12	12	15	474136
11011100001101001101000	11001011101010010010100	13	13	15	480680
11101110001010011000100	11111110001000100101000	12	12	14	493600
11101100100010111000100	11001011010110100011000	13	13	14	470936
11110100010110010011000	11110110100000110100100	10	10	14	401760
11001110101010010110000	11010101010011110000100	11	11	11	474592
11100110001110010011000	11110100011100100100100	12	12	15	487768
11010011111001000110000	11100100110101010010100	12	12	13	496448
11110001011010011001000	10111001101000101100100	12	12	13	474568
11011010100101001011000	11110110001000110110000	11	11	13	445416
11001111100001100011000	11101001001111100000100	10	10	12	430512
11001011101001100010100	11010101001100111001000	11	11	14	460664
11110100010011010110000	11110011000111100000100	12	12	14	468080
10111110000011001101000	11100100101111000010100	10	10	15	343736
11011001001110010101000	11111100010110000100100	11	11	14	459264
11111000010110100110000	11011100100101011000100	11	11	13	452304
11011010001110001100100	11110000111000111001000	11	11	14	435704
11110001010100111100000	11101100011100100010100	10	10	12	474312
11110100110010100100100	11011010001011010011000	11	11	15	460120
11100110100100111001000	11101010010011100010100	11	11	14	474496
11111100010010010011000	11011011001001001110000	12	12	14	486192
11100100111001101010000	10111100010100110010100	11	11	13	415976
11101100100110011100000	11111000011001100100100	11	11	14	463496
11100011100100110101000	11010111001001011000100	12	12	14	481760
