first	second	opt	dist	central	visited
101111000011111000010100100	111100101000110100101011000	12	12	15	4412872
111101100011001001010011000	111110001100100110001100100	14	14	19	5956544
111001001011101010010010100	111011001010010111010001000	15	15	18	6005112
111000111110010010010010100	110111010000110011001110000	16	16	18	6113544
111110000111000101010011000	111101100100110001100110000	13	13	17	5952536
101101010111000010110010100	111011101010011001010010000	14	15	18	5994952
111011010100111010010001000	111110101001000111000100100	15	15	18	6128808
111001001111000111100010000	111010011001110001001011000	14	14	17	6006912
110100110110100110010100100	111100110001010011011001000	16	16	18	6119496
111001100011101000111001000	111011000110100110010100100	13	13	18	5227720
111101010001010010110011000	111001110100110010010100100	13	13	18	4983816
110101111110000101001000100	111010010100111010110001000	14	14	16	6032776
110110101000111110100000100	111100100111000011010011000	14	14	16	5954776
111000111001010101100100100	101110100111001001010011000	15	15	17	6128056
111010011100110100011000100	110101001111100001001101000	15	15	16	6104696
111101110001000011001100100	110011101001101100010101000	17	17	19	6065992
111010010101001101110010000	101110110010011000101010100	16	16	18	6108040
110101001110011001001110000	110011011110000110010010100	15	15	18	6194976
111001010011001110110000100	111010011010011000101110000	15	16	19	6051808
111010110010010010110100100	111101001110000101100011000	13	13	18	5092608
110100110011001010101101000	111001001100110111000100100	12	12	19	4560680
101110001110010011100101000	111110010100010100110100100	16	17	19	6084144
111011010010011010010010100	110110010011100110110010000	16	16	18	6081832
111010011001100100110011000	111001111000010011001100100	14	14	18	6028768
110101001111100001100110000	110011011100100111001000100	15	15	16	6173512
111011001001110010100010100	111001010110011000111010000	16	16	16	6107456
111011000100111100001100100	110011111001010001010011000	14	14	18	5958984
111110100001010110101000100	111011010010001111000101000	12	12	17	4133992
111100100100111001101001000	111110100100100111000010100	13	13	18	5306064
111011101000100110011001000	111010001100111001100100100	16	16	19	6075880
111010101100010111010010000	111100110001001101010011000	12	12	17	4110760
101111000110010011011001000	111111001001010010100010100	14	14	18	5628280
111101100001111001001001000	110011100100110111010000100	15	15	19	5962800
101011110101100001010010100	111101100000111001001101000	16	16	19	6064552
111101011010010001001011000	110111001010101011001000100	15	15	15	5831136
111111000011000100101110000	111011101000101001010011000	13	13	19	5140944
111100100111100000110011000	111101001001100101001110000	13	13	17	5584304
110111010000110111100010000	111100011100101001001101000	15	15	17	5975368
111000111101110000110100000	110110011100100111000011000	12	12	15	4194824
111101001111000110000011000	110101100011100110100110000	15	15	17	5999800
111100111010000011111000000	111011100010011000111000100	13	13	17	5295432
101100111101011000010011000	111001101010010011001110000	14	14	16	5549112
111000111011000110010010100	111010101001100011010101000	14	14	18	5938008
111110010001110000111001000	110100110100101111000010100	14	14	18	5617536
110011110010010011100010100	111110100110011000001110000	13	13	16	5629088
111011010000111100100010100	111100011001001110011001000	15	15	18	5999912
110011110010001101100010100	111101100001110110000101000	17	17	19	6078928
111100111000100100110010100	111110100010011110010010000	16	16	18	6085512
101101001111000100110011000	111000111001010011100100100	15	15	18	6120384
111011000101110001010100100	111100110010010111000011000	14	15	17	6116672
111000111110011100001000100	101111000111100001001110000	14	14	17	5834080
111010111100000101101000100	111101000110011100001101000	17	18	19	6094856
111110010010001101001101000	110100110011011001010010100	15	15	18	5790752
