first	second	opt	dist	central	visited
1010111100100101001100100	1110001110010011010011000	13	13	17	1696800
1111001100011100001101000	1101001110100110100100100	13	13	15	1691320
1011110110001011000100100	1111010011100000110011000	15	15	17	1705736
1111001001100110001101000	1101100100110011011000100	15	15	17	1716736
1111100000111100100110000	1101100111000010111100000	12	12	16	1515152
1011110001011001010011000	1111100001100011100100100	12	12	15	1578568
1100111100100110110010000	1110100111001001010011000	14	14	16	1706288
1101100011110011000110000	1100111010011000111000100	14	14	16	1726960
1110101001110001100110000	1101001110010010111000100	13	13	16	1712344
1011100011010110001110000	1111100010010010111001000	14	14	16	1715632
1101001110011101000110000	1111100100100101010011000	14	14	16	1703328
1010111101001001100010100	1111101000100110011001000	16	16	17	1711344
1101001101010111000110000	1100111111100011000000100	13	13	14	1630648
1110101100100011010100100	1111000100110101001011000	13	13	17	1568352
1011001111001011000110000	1111000111010001101000100	12	12	13	1507408
1111010011010000101110000	1110011000111001101000100	14	14	17	1647752
1101010011100111000110000	1011010110010011011001000	12	12	16	1537072
1011010011101010001101000	1111100010110100110000100	13	14	15	1608752
1110011011100100010110000	1101001011100110100011000	15	16	16	1704616
1111101010011001000101000	1111000110001011010100100	13	13	17	1622968
1111111001000100001110000	1101001111000100110010100	12	12	16	1452160
1111110100001100100101000	1111001100100100101010100	12	12	17	1492968
1111011000011100101010000	1110011001110000110011000	13	13	16	1656608
1111010101010011100010000	1111001001101001001010100	11	11	14	1454344
1010110011011001100011000	1111101000110000101100100	13	14	16	1630952
1111010100010011100100100	1111010010100111100001000	13	13	15	1677584
1110011010101100010011000	1101100110010110001100100	12	12	15	1638864
1100111110100100101000100	1011110100100101001101000	14	14	15	1722448
1011101001101110001001000	1100111101110001100000100	14	14	16	1714512
1111000011010011011100000	1110101010001110100101000	12	12	17	1455208
1101110000110100101110000	1110010101001011011000100	12	12	16	1503064
1110100011100011001101000	1110101011100001010100100	11	11	14	1265856
1111100100110010011010000	1101110011000011100010100	15	15	17	1721200
1110001011101001010010100	1101100111000110001110000	14	14	15	1705128
1101111001100000111001000	1110010011100011001100100	14	14	17	1682352
1101110001100100111100000	1011101100011100001011000	11	11	13	1433336
1101001101100011010100100	1110011101001010100101000	15	15	16	1709576
1101110100010011010100100	1100111010011010011001000	13	13	16	1671912
1110011111000010110000100	1011100110011000110110000	16	16	16	1730480
1101100110110001010101000	1110101000101111010000100	14	14	15	1735920
1110011101001010010010100	1110101001001101001101000	13	13	17	1692088
1101110011010010100010100	1100111100011100110100000	16	17	17	1709880
1111100001001011101001000	1011111001001010100100100	15	15	17	1705760
1011100111001100010010100	1111100110010001001110000	16	16	17	1707032
1101100111100100101000100	1110011000110111100010000	15	15	16	1719112
1100111001001110100100100	1110100101010100111100000	12	12	13	1653248
1111100110000110100101000	1011001111001000101010100	15	15	17	1705600
1110100100111100011010000	1100110011100010110010100	12	12	16	1435864
1011110011110000100010100	1110010011001100110101000	15	15	17	1713816
1101010100111010001011000	1111110011100100000100100	12	12	15	1581392
1101010011100101100010100	1100110100111100001110000	12	12	16	1568216
1110011010010111000010100	1110101001010011001101000	13	13	16	1684072
1110101001001110001100100	1101001110010011100101000	12	12	17	1592624
1111010100110001010011000	1110100100101100101100100	13	13	17	1659672
1110100100111101000101000	1110010101010010111010000	11	11	15	1377656
1111001101110000001101000	1011110000111001100100100	14	14	17	1674368
1100111010100011100110000	1110110000110110001011000	14	14	16	1707760
1111100001100011011000100	1011010010111010010110000	13	13	16	1585248
1011010100111000101110000	1110100011001111001000100	13	13	16	1681944
1101001111000111000011000	1101101001010010110100100	14	14	16	1737792
1101001110001110001100100	1110010101011111000001000	13	13	16	1706936
1110011001100100111010000	1110101011001001100011000	13	13	15	1750376
1110001110001100111010000	1110110001101100110000100	15	15	17	1704264
1101010011110100011000100	1111001010011010001011000	13	13	15	1724744
1100111001001101011000100	1110100111001100001101000	16	16	17	1706232
1111100110100110001100000	1101011001001110100100100	12	12	15	1554128
1110111000101100010011000	1111111000011001100010000	11	11	16	1306480
1111001001100110010100100	1101110101000101010011000	13	13	15	1732664
1111001001001011001101000	1011100011101110000010100	12	12	15	1329296
1011011000101110011000100	1101001110101001111000000	13	13	15	1643040
1110011011001100100011000	1101100110100111000100100	12	12	16	1576744
1011101001001011001110000	1110001111100011001000100	14	15	16	1701216
1110100110100110010010100	1111111010100000110010000	12	12	17	1636352
1100101101110100010101000	1101011001001101100100100	14	14	16	1711560
1101100100111010001011000	1111001001110100110000100	14	14	15	1709784
1111101000010111100010000	1011011010010011110000100	14	14	15	1658232
1111111001000100010010100	1101110011100010011010000	14	14	15	1714848
1110101001011001001010100	1101110011100001101001000	14	14	16	1720600
1111010100010101011000100	1110100101001101100011000	11	11	16	1349376
1111010010100110110000100	1100111010011000110011000	14	14	17	1712296
1101011010001111010100000	1111110000101001001101000	13	14	15	1718856
1100111010010010111001000	1101001101001111000010100	12	12	16	1470680
1101010101110001001100100	1111100001101100010011000	11	11	14	1431904
1101110001110100010010100	1110110110000110001101000	13	13	16	1687704
1011001110001110010101000	1111001011011010010100000	15	15	16	1716384
1100110111010010100101000	1101010010111101001100000	14	15	17	1708720
1111000110010011001110000	1101111000100101010010100	13	13	16	1684184
1110110001101001010010100	1011101100100100111010000	13	13	16	1637112
1110100111100100001010100	1111100101010011001001000	12	12	15	1557952
1100110101001110010011000	1111010010101001110000100	13	13	15	1734048
1111010100100101110001000	1110110010011010010010100	12	12	16	1554920
1011010011011101000110000	1111100101001001100010100	15	15	15	1704944
1101011101001010001100100	1111010001001101010011000	15	15	17	1713392
1100110111110001000010100	1101100101100011110001000	12	12	14	1569456
1011001110100010101110000	1111100110100100100010100	12	12	16	1378120
1110110010001111100010000	1111001110010001100010100	13	13	14	1707712
1111000110010011001100100	1101100011001100110011000	12	12	17	1581696
1111010000111001101000100	1110011100110001001101000	14	14	16	1690720
1101010011001011001100100	1111000111001000110011000	13	13	17	1702848
1111001011001001100101000	1101100011010100111000100	15	15	16	1729048
1110010011001101100010100	1110100111010110000101000	15	15	17	1708256
1101001110010011011100000	1110010011110001110000100	11	11	14	1241520
1101001111010010001110000	1111001101001001100011000	13	13	15	1700560
1100111111001010000101000	1101100101001111001000100	14	14	14	1736480
1101011100001110010110000	1101100100111001011000100	12	12	15	1511112
1011110010011100100100100	1111001001010100110011000	14	14	16	1723088
1110100110011001001110000	1110010010111011001100000	13	13	15	1749272
1101110100001101100100100	1101001110110010010011000	14	14	16	1700488
1110100100101101001100100	1110010011111001001001000	13	13	15	1659808
1100110011001110101000100	1101100100110011100101000	13	13	17	1674088
1101001100110100110011000	1110011001001011001110000	12	12	17	1588096
1100110110011001001110000	1101101001001110010011000	14	14	15	1747920
1111110010000100111100000	1110100101010011001010100	11	11	16	1472272
1110100110100011001110000	1011101000111010101000100	15	15	17	1710808
1111000111000010110110000	1011110100100101100011000	14	14	17	1671952
1100110111001011001000100	1111010100101100011010000	14	14	15	1690872
1011001101011100010101000	1111001001110000101100100	13	13	16	1639488
1111001100101000101101000	1101110001101101000100100	14	14	17	1692312
1100110100110011110000100	1101111010001010010101000	14	14	16	1729256
1011101101010010001110000	1111010000101101011100000	14	14	16	1713448
1101100111001101001010000	1110010011110001010010100	15	15	16	1710728
1100111000101100101100100	1111010010010011010011000	11	11	17	1357976
1110011100011100010110000	1110110011000101110000100	14	15	17	1720200
1110111100110001010001000	1101011000111101001010000	13	13	14	1664112
1101011000110011001010100	1111010001111001100001000	14	14	16	1728880
1100111010011100010100100	1111101000100110010011000	14	14	17	1733704
1110001100111100100011000	1011100110100011010100100	12	12	16	1508696
1110101101000110010011000	1100110111010000101100100	12	12	15	1487960
1110011100100100101101000	1110111000011100101000100	15	15	17	1707152
1110101001001101001110000	1111110001100100010010100	13	14	17	1688320
1111001010010010110100100	1011001110101010001101000	13	13	16	1532352
1111101011000001100011000	1101100011010100110100100	13	13	17	1654216
1110010111000011100101000	1110101100010110011010000	12	12	15	1602720
1111001001100011011010000	1111010010011000110010100	11	11	16	1233408
1101011000101010110101000	1111010010100110100100100	13	13	16	1629672
1110100011100010110100100	1111110010100100111000000	11	11	15	1268432
1011110100110010011100000	1110110010011110000010100	13	13	15	1730176
1111101101000010011001000	1111100001110100010100100	12	12	16	1452360
1101001101111000101001000	1110101110000110010100100	15	15	16	1714848
1111010111000001001110000	1101001110010100110011000	13	13	17	1659848
1111011110001000011000100	1111001100011001001110000	12	12	16	1503264
1101011001101001010101000	1111000111100011001000100	14	14	14	1759448
1111111000100011000100100	1011110010100011110001000	13	13	16	1700136
1100110011101100010100100	1101100100110110001011000	13	13	15	1680160
1101001110010101001100100	1111001001110000111100000	13	13	16	1737512
1011111001100000111010000	1110011100100011010011000	11	11	17	1146208
1011001110011001011100000	1111100100100110001101000	15	17	16	1708984
1111001110001100010011000	1111010010010101001110000	11	11	15	1391120
1100111100010010111010000	1110110000110110101000100	12	12	17	1465784
1110001111110001000110000	1110110001001101010010100	13	13	14	1731440
1111100111000001101000100	1110100011101100001101000	16	16	17	1705336
1110011011111000001000100	1110101001011000110101000	13	13	15	1689528
1110011110000011110001000	1101100011010100110010100	13	13	16	1711080
1101001110011000111000100	1110010011100101001110000	13	13	16	1716288
1110110001100100110100100	1110011000110110110001000	14	14	17	1711448
1110100100111010010010100	1110010101111000001110000	12	12	15	1596312
1110100011100110001101000	1100111101001001100010100	14	14	17	1700984
1010110111100010110010000	1110011001011100001010100	14	14	15	1675488
1011110011000110001110000	1110011000111000111100000	13	13	16	1707600
1110100111100100100011000	1101011100001100110100100	15	15	16	1730064
1101001110010011010100100	1101011001010110001011000	13	13	14	1712120
1111001111010000110001000	1110101001100100101100100	14	14	16	1718424
1011101100001111001010000	1111010001100011001101000	14	14	16	1708312
1111011001101000010010100	1110010100110010110110000	13	13	17	1481912
1101001111010101000101000	1110010011100101100100100	13	13	16	1696624
1011101110001001010100100	1101001011110001100011000	13	14	15	1684840
1011011000110111000011000	1110010101001011100100100	13	13	14	1619144
1110011001001110001110000	1110110000111000111001000	11	11	16	1395096
1110110001101000110100100	1011010110001111101000000	14	14	14	1680280
1111100001100010110100100	1101011100001110010011000	11	11	15	1222544
