first	second	opt	dist	visited
1110110010011101100010110010010011000	1111100001001101010100111000110110000	19	19	26	3229909960
1111001010010110001011001110010100100	1111010011111010001001001100110100000	19	19	26	3107800616
1011111011010001110101001000011100000	1111010011111010010010100010001010100	20	20	26	3341890072
1011101001010110100100111100100101000	1101110010011010010011011010010100100	18	18	23	3239875616
1111010001110100100100111100001101000	1101101110010010011100110001110010000	22	23	27	3845788016
1011010011110001110001001101110001000	1111111000100010101010011000101100100	22	23	27	3838699472
1111000101011100001011100101101001000	1110110001111001001010001101001110000	18	18	27	2302250208
1111010100111000010111010110000010100	1111100101100001011001100110001101000	17	17	26	1923264968
1011001011110110001100110001010101000	1110101111000011010010011001010010100	24	24	27	3857961248
1011110110100010011000101100101110000	1101001101111000010111011000010010100	23	23	28	3836497968
1101001101001101001101100101001011000	1110101000111100011110001100101000100	22	22	28	3859023368
1111000010111001111101000100100101000	1110101101010011001010010110001100100	21	21	25	3704277560
1110011001110100100011100100110011000	1111010101000100111101000011100100100	23	23	28	3853989248
1011111000010011010011101010100011000	1111110000110000110101100011101000100	17	17	27	1951710392
1100111111000100101011000100111000100	1111011100000111001000110011100011000	22	22	27	3878781552
1111010010110110111000001000101110000	1110011011001100010011100110010011000	21	21	26	3332827160
1110111101000011101000111000010010100	1101100111000100110110001100101110000	19	19	27	2970194360
1110110010010110001101001011100011000	1110010011110000111100010111100000100	20	20	27	3448435920
1100111111100000100101100011110010000	1011110011010011110001010110001100000	20	20	26	3741892112
1011111101010000101010010011100101000	1111000101001111001100100110010010100	21	21	26	3762891512
1101100111001001101000101100101011000	1110011010100011100101010011011010000	19	19	25	3067759256
1111010100110001110010010100110101000	1110001100111010010011001101001100100	22	22	28	3843408800
1111010010110010010100111101000011000	1111001001010011101001011011010010000	18	18	25	2935071040
1110011110011001100000111001011000100	1011010100111110001110000100101110000	22	22	26	3720191136
1111011000110010111000101100011000100	1111110001001010011100100011001110000	21	21	26	3815814264
1110011111100101001000001111000100100	1111101001001101001010011100001011000	19	19	26	3376987784
1101100101010011001101010011100110000	1111001110010010101001100111000011000	20	21	26	3630041864
1111001111001001110010100001011000100	1111011001000101010011101011000011000	23	25	27	3856787584
1101100110001111001011000100111010000	1100110011110001001110101001100011000	21	21	26	3785628152
1101111010010010111100101010100000100	1111000110101110110010010001001011000	26	27	29	3854295688
1111100110000101001111001100100110000	1111010001111100000011111100100000100	19	19	26	3369287864
1110010100111101100001010011001100100	1101111100001001010011110010010011000	19	19	24	3372710536
1110010110100110100011101100010011000	1111011000110100101111001001100010000	23	23	25	3872684776
1110100011001011011110010011100000100	1111001011100001100011101110000101000	20	20	27	3075822712
1111011000111000011100010011101001000	1110010100111001001110100110001100100	24	24	28	3863008848
1111111000011000011001100011100100100	1110111000101110010001101110000101000	19	19	25	3443351408
1110011000111110001110001001100100100	1110100110001100101101010100110101000	20	20	26	3790160024
1111000100111111000110110010001010000	1101110001001101110110000011001011000	21	22	26	3789136536
1101111001000101010100110011010110000	1100111010100011010101001111100001000	18	18	25	2704800896
1101101011000110001011011000111010000	1111001001101000110100111011100000100	20	20	27	3212810712
1111101000011011100011000110011000100	1110011100100101100011011001001011000	23	23	28	3855579960
1110111010000111001100010111001010000	1101001110101100010111000011001101000	24	24	27	3851607776
1010111001011000111100010100101011000	1111001010110001111000101100101100000	20	20	25	3695130152
1100111000111010100011110010110001000	1101110010010011010100111110000100100	21	23	26	3579198016
1111011100110000101010100100110101000	1111001100101101010001101100001010100	21	22	27	3695895624
1110001111110001110100011101001000000	1101011110001000111111001001001001000	21	21	25	3779806000
1011011110000100110100111001011001000	1101001111001110001001001111000010100	20	21	27	3517599184
1111001001001110100100111100100100100	1101111100100100101100100110010011000	24	25	28	3856880184
1110101001111100010001101000111100000	1111101010100111110000010001001010100	18	18	25	3350239216
1111100110001100100011111000110001000	1011111000001101101000111010010010100	21	21	26	3620842808
1111100011101000010011100101110000100	1110111000001111001101000010110011000	20	20	27	3172015968
1111001110101001100001001011011000100	1111010011001000110111100101011000000	22	22	28	3713129944
1111101100110000111000110010001100100	1110010010111010010100111111000001000	23	24	25	3845475464
1110101110111001001100000101100010100	1110011001100100110110001110001110000	20	21	25	2994236336
1111001101001110010100011100011000100	1110110010100100111010010101001101000	22	22	25	3858503000
1111010100100011110001100010110011000	1111010010011101111000000101001110000	21	21	27	3589562104
1011001101111100001100100110010010100	1111001101000101110011110000010110000	24	26	28	3865318680
1111001110010101000011010011100101000	1110100011010011110010100100111010000	20	21	28	3095772600
1111010100011100001110010011110001000	1111111100011010001100000100111100000	19	19	28	3246394160
1111001110000110100111000110100100100	1110111100100100101001100100111100000	20	20	27	3698174216
1101100011100011011010010011010011000	1111100110001101100011010001001110000	19	19	25	3247081496
1110111000101010100110001110100011000	1111100101010010011001011000110110000	21	22	26	3843776144
1111001001010010111100100010110100100	1101010101110011001010001101001011000	19	19	25	2959482032
1110101001001110101001010011010101000	1110010100111011000100110101001100100	18	18	27	2766928024
1101001110111001010010011011000100100	1111001101001110100100110000110011000	24	25	28	3861645176
1110010100111110101011000001100110000	1101101001010010111110110101000001000	20	20	25	3564033304
1110011001100011111001010000110010100	1011111000011001010011011100100101000	22	22	24	3871868232
1101011000110111001100010010110110000	1111110001100011010001011010010010100	21	21	27	3540594032
1110111100010110010001100101101001000	1111100011010011110000011010001010100	22	23	28	3801828984
1111100110101000011100011000110010100	1111010011001110111000010001110001000	22	23	27	3818126176
1111010100110110010001101100001101000	1111001010011010011001110011011000000	20	20	26	3409829664
1101100101110001100011010011010011000	1110011110000011010110010110001100100	20	20	27	3612723552
1101111100100111001000011001010010100	1111100001010111000101001101001101000	20	20	26	3653291496
1101101001001110001100111101000101000	1111110000011001010011100101001100100	18	18	27	2551753368
1111101000110100010110010011010010100	1111100110100011000011101010011010000	21	21	28	3741581168
1101101110000011101001100110001100100	1110100111011111000001100001100011000	23	23	28	3857832072
1111100100001111100110100110000100100	1011110011110010000101001111000101000	24	24	27	3853056648
1110011111110010010100010100101001000	1111110100111000011010010001100100100	20	20	26	3800726320
1101110101100011110100100010100101000	1111010001100100111100010100111000100	22	22	25	3860487432
1110011011000011111100011000110100000	1111011000111000010100111000110101000	21	21	25	3829395008
1011010100111011000101010011001011000	1101001011110001111000100110110100000	21	21	26	3858260696
1101010011001110101001100100110010100	1110110010011001100110010011110010000	21	21	25	3848407976
1110110101100010111100000110100010100	1101001110111100100101001001101100000	23	23	27	3861556264
1011110111000011001110000101011100000	1111100001110001001111100001100100100	21	21	26	3718527712
1110110100101001111000010100101011000	1110100111010001011101000011010100100	18	18	24	3016868744
1110110000111010101001010011001011000	1110110110000101011010001100111010000	20	20	28	3489198200
1101101011101000010100111001100011000	1111000100111010011010100010111000100	19	19	26	2944219128
1111100100100101001111110000100011000	1111010010101001011000110010110100100	18	18	25	3249883040
1111000110001111010011001011001010000	1111011000101001110100010011101000100	20	20	26	3655455600
1110011110010110001001100011110100000	1111010011101001000111100100001110000	19	19	25	3477498816
1110101101100001110001101100001011000	1101111100000100101101100011100110000	19	19	27	2697050216
1111100100111001001100010011100011000	1011110110100001001110010100111000100	21	22	28	3720295816
1111110010100110001001110000110100100	1101110010100101100100111110000101000	21	22	24	3804879840
1110100101001111110000011000111000100	1010111110100110001100010101001101000	21	21	25	3874732512
1111101001000011010100110011100110000	1111001110010010010011111000010011000	20	20	27	3371228016
1110011110111000001010010101001101000	1011111010001110100001110001101010000	23	24	26	3871219144
1111011001100101100011000110001110000	1111001000111001101001001101010011000	19	19	25	3152998096
1111110001001000111001101010011100000	1110101001111000100011001110100011000	19	19	27	3157859048
1111011010011100101000110001001010100	1111010011000100110100111100011001000	22	23	28	3772716464
1111101111000110001100100100100011000	1111001100011110010100010100110100100	19	19	27	2977458752
1111001001010011111110100010000101000	1011010101001111000011100010111000100	19	19	24	3676666856
1111000111000011111001000101001011000	1011010011110100011001100010111010000	21	22	25	3824852472
1101010100111111001001000011010011000	1111001001101010001111101000010100100	18	18	23	3153206400
1101010010111000111111000100011000100	1101100110100011110001001110001011000	20	20	26	3669630616
1110101100010010110111110011001000000	1111000110001110111001010000111010000	21	21	27	3416074784
1110010011101001100100111010100100100	1101001110110011001001100111001001000	21	21	27	3835377712
1111001010011011000111001001001101000	1111010010110001101110010010010010100	22	22	28	3873289536
1110010011101001001111000101101100000	1110110010100101101100001110110000100	19	19	26	2971996736
1110100111100001010110001011011000100	1111001001101100011100101001001011000	22	23	28	3853497360
1111110001100110001101100010010011000	1011111000101010101100010011110010000	22	22	26	3853994088
1011111010001000110011011001001010100	1110011010001110010100101110011010000	20	20	28	3555598560
1111001110001010010110010100110011000	1110100110010011011000111001001100100	19	19	27	3243701072
1111100100011001110001111000111000000	1011001111101001100011110010000100100	23	23	27	3847934320
1011100110010011011100001100110100100	1111000101100110001110010011010011000	21	21	27	3699857232
1111110010100101100001100011100100100	1111011010010100101100001110101001000	21	21	28	3744247360
1111001010100011111001001100010011000	1111010001101000110011100110001110000	20	20	26	3660267216
1010110100111011000111110100010001000	1110100111101100010100010110001100100	24	24	26	3866439728
1100111100101000110101100010111000100	1011110011000111001101001010010110000	21	21	26	3659914296
1100110011010011110001100111010001000	1101001111100011000110011000101010100	23	23	27	3855368184
1111111000110010001000101101100011000	1111010100101110100011001010010100100	21	22	27	3652513496
1111010100111100100010001110101001000	1110110011000110100011101100100010100	20	20	27	3334045008
1101001111100111000010011000111000100	1111001001111000110001100111000011000	21	21	27	3848871296
1101110100010011011011010000110011000	1111111010000011101001001001001110000	19	19	28	2701202648
1110101100101001110011000011010011000	1111101001100011100100011001001100100	20	20	26	3689362488
1111101001100010100110100011110100000	1101010011011000111101000100101011000	21	21	28	3816292536
1110101001011011000011010011100110000	1110010101010011101001011010010011000	19	19	26	2996383424
1111010100100101100111100010011000100	1111000111010100011110000111010001000	21	21	28	3783657168
1111001110001001101001100011100011000	1101001110111111000100100101100000100	22	22	27	3863587704
1111011110011000010100110100001100100	1100111100100111000111000011100101000	20	20	26	3438915800
1110111010010010100111001101001100000	1111000100101100101101100011100101000	22	22	25	3814087184
1011011010010010111110100010101000100	1111101010000101010011111000110010000	20	21	25	3206204304
1110101001001110011001011000110100100	1110010110011001001011010110001011000	20	20	27	3646300072
1101001111011001100000110110001100100	1101011110001000111100110100010011000	23	23	26	3849874688
1111101100100100101111001000110100000	1101110100111100000010111001010101000	23	23	28	3841159512
1111010111000110000110100011010101000	1110110001111001000101011100010010100	19	19	26	2890654864
1011001111100111000100011011000010100	1110011101101001010010011001101001000	21	21	26	3667921112
1101110110001010100011110010011010000	1110010101001111001011100100001101000	21	21	25	3720578624
1111100001100010111111100000010010100	1101111100100100001100111100100101000	21	21	26	3783412432
1111110001110001011001010001011001000	1011110001101001010011110100001110000	21	22	25	3805394576
1011010011111000101100010100111001000	1111110010110010011000100101100100100	21	23	26	3826611144
1110110100001101010011110011001000100	1011110010100100111010011001001011000	19	19	27	2864815048
1110101001110001100011100011100101000	1110011101001010011011100010001100100	22	23	27	3860689680
1111001001101101000011101010011010000	1111011100110000110100111000100010100	23	23	24	3849471392
1111100100011100011100010011010010100	1110110101000111010101011001010010000	22	23	26	3840403208
1101010011101001100011001011100100100	1111100010100101011010010100110011000	21	21	26	3789769064
1111110000011101011000011010001101000	1011110001101110000111001001101000100	22	22	27	3759481328
