first	second	opt	dist	central	visited
1111010100101101001000110010100	1101100100111001001110001101000	15	15	20	56130144
1111100110001010011001010010100	1110100011101001011010100101000	16	16	21	71488592
1101111010100111000101100100000	1011101001001111100001110000100	15	15	21	62548352
1101100111101100010000110010100	1100111100001100111100100101000	20	20	23	78743688
1111110011101100001000010100100	1011110000111010010011100011000	19	19	22	78432128
1011100101110001100011010101000	1111001101100001101100100010100	18	18	20	78519112
1100111100011100101000110011000	1111011000100110011010001100100	18	18	22	78540280
1111001101100100001011001101000	1011100110110010010100110100100	17	17	22	66485672
1111110100100110011000011000100	1100111100100011011001001011000	18	20	22	77953760
1011111001110001001101010000100	1100110011110001010100101101000	18	19	22	78574024
1011101001100011100100110110000	1111100010011011000011010010100	19	19	23	78653800
1111101010011000111001001000100	1110011011001010011100001011000	17	17	21	76920872
1111011001010010001100111000100	1110010100111100100110100011000	16	16	21	68400368
1110110001011001110010001101000	1111100010010100111100010010100	15	15	21	63418824
1011110000111000111100110001000	1110110110010010010100110010100	14	14	19	54199104
1110100101001110001111100000100	1111001011001111001000011001000	17	17	20	79419184
1100111010010100111100110000100	1110110001010011100110010101000	18	19	21	79325120
1111111010010011001100000101000	1110010011100010111001010010100	17	18	23	77859208
1100101111011000100100110011000	1011100100110111000011001100100	16	16	22	68186328
1100111001001101001101001100100	1101001110010011011010101001000	17	17	23	78635416
1101100011101011000101110000100	1110010100111000110011010110000	16	16	21	68941824
1011101001001011100110101100000	1110110010011101010100100100100	17	17	21	67207040
1111001001100101010011100100100	1011011101001001001111000101000	18	18	20	79714344
1101001111110000110010100110000	1100111001011000111001011100000	16	16	20	78502680
1110111000010011010101001110000	1111000101010111101001001000100	17	17	21	77413584
1110011000110100101111000011000	1111010001110010100011010100100	17	17	21	76170536
1110110110001001011110010010000	1101001110110001100010110010100	18	18	20	76329000
1101110010010111010101000110000	1100111100010100111001110000100	17	17	21	76186512
1110011010010011011010100010100	1110111101001001001001011001000	19	19	23	78718880
1111110001001010100110010010100	1110111000101010011001001110000	16	16	21	76873176
1110011111000010011000111100000	1101011011100001001111000011000	14	14	20	66782536
1011011011100110001100011000100	1111001100100111010010001101000	19	20	21	78644936
1111001010100101001101010011000	1101011010011000111101000100100	16	16	20	75316120
1110010011011011001100001011000	1101001110100010110111000100100	17	18	23	72411824
1101010011001110001110001110000	1111010011000110110000110011000	14	14	20	56760152
1111100001010011010011101000100	1011100011111001001010100011000	15	16	20	59603512
1110100101010011001101001110000	1100111101010011000011011001000	15	15	22	65777616
1011100111100100010100111010000	1111100001111100101000100011000	19	19	21	79471968
1111000011001111001010001110000	1110110100010011001101010011000	17	17	23	75665056
1101001111101010000101001010100	1111001100010110001100111001000	16	16	21	74690800
1111111010001000100110100011000	1100111110001100011100011010000	20	20	22	78957000
1111100100010110110010001110000	1101001111101001010100010011000	16	16	21	68243720
1100111110100101011100100010000	1111010010101001011101010001000	16	16	20	71672288
1111001100001101110001001011000	1111010010101000101111000100100	16	16	21	67965792
1110100111000100110100111000100	1100111001101010110100010101000	17	17	18	77404560
1110111000101000111110000100100	1111001101000101001111010001000	17	17	21	77732328
1110011111001001000100111000100	1111010011001100010011100101000	17	17	22	78609520
1111101010001111001000101000100	1111000111010011100010001011000	17	17	22	75608424
1111000110011000110111000101000	1101100011111100010100010100100	18	18	20	78665680
1111011001101001100001100110000	1100110011011000110111001001000	18	18	21	77060872
1101100111001000111100100010100	1100111011010010111001100010000	16	16	21	74833088
1110111001110000100101100100100	1110010011001100101110010011000	19	19	21	78445680
1111101010100100010110100011000	1100111100111000110000111000100	18	19	22	78040920
1110110100011011000100110101000	1111001101100111000100100100100	17	17	20	75345648
1111101101100010011000010011000	1101001110010100111001111000000	17	17	21	72509488
1011101011001001010100101101000	1111000110100111100100100010100	19	19	22	78730728
1101111000011011001000110110000	1100110101110100100110111000000	20	22	22	78940128
1111110001100100100101110010000	1101110001001011010010111000100	16	16	22	66024888
1111100101000011101001010011000	1110111101000010001110010100100	16	16	23	70888840
1101100011111101000100110001000	1111100110000101100111000010100	16	16	19	76991976
1011011001110001100100111000100	1101001100111010011001100101000	19	19	20	79943152
1100111010011100010011001110000	1111011000010101001110010010100	17	17	21	77794040
1110010101101001100011010110000	1101100011010100111010110000100	17	17	19	76727376
1111100101001001001111000101000	1101010011101101100001011000100	17	17	20	77384792
1011100100110011110000110010100	1111100110010000111010001101000	16	16	22	74002952
1101111011000001010010110011000	1110100110110001001110100100100	17	18	22	73232960
1111000101110001100100101101000	1011100111100111000001100100100	17	17	21	73800448
1100111110001101001000110100100	1110100110100111010010010011000	17	17	22	77711056
1110010011001100111101000110000	1011111100011101000100010010100	17	17	20	74561376
1111011110000100011011010100000	1111000101001111001011000010100	17	18	21	68339496
1110111010011001001000111000100	1110100100110011101010001110000	18	18	21	77662984
1110101001101100100010110100100	1011111001010001101001010011000	16	16	22	66451144
1111010011001001001101001100100	1111001110011000011001010011000	15	15	22	65025752
1011111110000001011001100100100	1100110011011001110000110011000	16	17	21	77704944
1110101001001100111000110011000	1110101011100100100111000100100	19	19	20	78775592
1110101001101011011000011100000	1110100111001000101011100011000	20	21	22	79225104
1101101001001110001110001010100	1110011010011001101000110101000	17	17	21	78930944
1011101001110100001100110011000	1111001101010010101001100100100	18	19	21	78490904
1011101001001101001110011000100	1111010010011100010011001101000	19	19	23	78672128
1111110000110111001100001100000	1101111001001010011010001011000	19	20	22	78592504
1111101000111001001001111000000	1110101101100001100110001011000	18	18	21	79563824
1110110100011011101000011000100	1011100110001110010110001011000	16	16	20	64067544
1110011010001111101001001001000	1110100101011000111100001010100	17	17	20	79100928
1111000110111010001100010110000	1101100011001100101101010011000	17	17	21	72587848
1100111111101110000100100001000	1101010011110010010011100100100	18	19	19	79876576
1101111001001001001100111010000	1100110011111001001100111000000	20	20	22	78650464
1111010011101100011001011000000	1110101010011000110100110011000	17	17	21	77182568
1110010111011100100110000110000	1110110010001111010011100001000	18	18	21	77558288
1111110000011101100100100100100	1110110111001010000111000011000	19	19	23	78813248
1010111101000011100101001100100	1111000101100100110110011100000	18	18	22	78807480
1110010110111000010011001110000	1110110100010110010100110011000	17	18	21	76694112
1101110001010100110101001100100	1111000111010110010000110101000	17	17	21	78786144
1111000111100101100010001101000	1010111111000010101001110000100	18	18	21	77693568
1110110001010111100101001100000	1110011001010010111010100011000	17	19	23	75576424
1101101001011001010101100011000	1111000111000110001111000100100	17	17	18	81234960
1110110110001001101010001101000	1110110001100110001110100010100	16	16	21	70182368
1011110100101110000111010000100	1111000101001111010000111100000	18	18	20	78851232
1110010011110010110100010101000	1111010010011101000100101100100	15	15	20	64228056
1111001001010101010011100011000	1110110011100100010100110100100	17	17	19	80373184
1011111001010000111000101101000	1111001111000100100110011100000	17	18	22	75657328
1111010110100010001101001100100	1111011000111100011000011001000	19	21	22	78531840
1111001111100001100100010100100	1110110001110001001011010101000	18	18	22	78437312
1100111100011000110111000010100	1101110001010110100011001101000	18	18	21	78769864
1111010001110100001100111001000	1100101110110010101100100100100	18	18	21	75920040
1011110000110100101100110011000	1111001001100011010011010100100	16	16	23	69866464
1111010011100010100010110101000	1110101000111001110100001100100	17	17	23	72323808
1110110011110100100101001000100	1111000111001010100101001011000	14	14	19	48477320
1111010101001100110000110100100	1110100101001110011011000101000	19	19	22	78908384
1110011100100111100010001010100	1110100101101100100110101001000	18	18	21	79123496
1100111011000110010100110011000	1110100110110001100011010110000	17	17	21	78053216
1110011100110110001100001100100	1101001101001100110101101100000	18	19	21	76997592
1111110000111000111000010100100	1101100100111010001111000101000	18	18	22	78820976
1101101001111001001000110011000	1111010011001100001110110010000	19	19	22	79002792
1101010100111100110001100100100	1101111010011000110110000101000	16	16	20	78961840
1110010110010110110000110110000	1111111010000100010011001010100	15	15	21	61748728
1111100011001001100011001110000	1011101100100100111100010010100	18	18	22	78764352
1110011001110001001110011001000	1101001101010100110011111000000	15	15	21	69738624
1111010011000110010011010011000	1111001100110001100110001100100	17	17	23	77455184
1110110000101110100100110110000	1110001101101110100001010010100	18	19	23	74530456
1111101100011000100011001011000	1110001111000101010110101000100	17	17	22	70866032
1110010100111101100010101000100	1011110100111000011100011010000	19	19	21	79491232
1111001011101000100010111010000	1101110010001111100001101001000	15	15	19	50700816
1111010001100011110001111000000	1110101010011100010110001100100	16	16	21	74089888
1111000111001001010011010011000	1101100011110001001110100100100	16	16	21	74999272
1101011000111110001001100110000	1110100111100010001110001011000	16	16	19	76941824
1100110110010100111000110100100	1110110000110101001011100011000	17	17	21	78636232
