first second opt dist central
11011110011001011000100110001011000 11001010111110000110001101110000100 20 21 24
11111001000111001001100100110011000 11101001101100011011000110100100100 19 20 26
11110001100101110001001101101001000 11101101010110001011100110000110000 23 24 25
11100111100011000110011000111100000 11011110001101101010010001100100100 21 21 24
11111001001010011011000101100100100 11101110010001101100110000111001000 20 20 25
11101011110000110001110001010010100 11101000111101001110001000110101000 20 20 24
10110111100101010000111001001010100 11101001100100110110010100111001000 20 20 25
11011100010100110101110000101010100 11110011110000111010100010011010000 18 19 22
11101101000011110010011110001000100 11110000111101001110000110001110000 20 21 25
11010100111001111101001100001001000 11111101001000100100111100001010100 19 19 24
11100111100001001110101001010010100 11110110001100101001001101001101000 19 19 26
11010011111110100100000110010011000 11100100111101000110001101100100100 17 17 23
10111001100100101110100111100010000 11111110000100111000011001010010100 23 24 26
10111001101001110010011100100101000 11110101001010001011100110001010100 20 21 26
11110011110101000101110000100110000 11101010010110010011100110010011000 22 22 25
11111001000011101010001101110001000 11010011110011101100010000111000100 19 20 26
11100011100100111110000110100100100 10111001101101010010001101010011000 17 17 25
10111011000101010011011000111010000 11110001110010011010100101001011000 22 23 25
11110011100001101100011101011000000 11101001111100011000101000101100100 21 21 25
10111010011101001100100101010011000 11100110110000110101101011000100100 20 20 24
11011010010011110100110100010100100 11110011011000011101001011010001000 21 21 23
11111000110010011001010011001101000 10111001101001100011100100111010000 17 17 24
10111101010010100101001100110011000 11010011010100111001101001001100100 19 20 26
11111001000110110010001111000100100 10110111011001001001100101010011000 21 22 24
11110010011000111010100101100011000 11011011010001011001110100001110000 18 19 23
10111010001111001001101001001011000 11001101011001001101001100111000100 20 20 26
11011100101100011000110100110010100 11011110100001100110111010000101000 20 20 25
11010011101100011001001110101001000 11111001000110110010011010010100100 22 22 25
11010011100111001100111000101000100 11111001001001100100111100100011000 20 21 24
11110010001111010001100011001100100 11110111100011000100010100110101000 20 20 26
11101001110110001101010011000011000 11101101000100111110010110001000100 17 17 21
11001101110001001101111000100101000 11010111001010010101010100111100000 17 17 20
11111110001111000010100011000011000 11010111001010010110101000111000100 18 18 23
10110110011101000101100011001110000 11111000011001111000010100110010100 19 19 25
11001110011010011110110001001010000 11101001001010110101101100100010100 21 21 24
11101110100100011110000011010100100 11010101001111000100111110001001000 18 18 24
11001101100110010011100101111000000 11101010011000111101100010001101000 20 20 24
11011101101011000010011001110000100 11110010011101100001100011010110000 19 19 23
11101001101110000011001110101010000 11111100100011000110101100010010100 19 19 26
10111001110100100110010100111000100 11110011001101000110100011001011000 18 18 23
11110001101010010110010100110110000 11010100111001110100010011001010100 19 19 24
11111001010000111010010011010010100 11101010011100010010111010100110000 17 17 26
11100110110100101010011001001110000 11101000111010010011010100110010100 19 19 24
11101100010101010100111100100011000 11001111001101000110100011011000100 18 18 22
11111001001110000110010101100011000 11111101001000011111000010010100100 18 18 25
11110101111001010010010010010011000 11110110010110101000101100100100100 17 17 24
11100011111000011001010011110000100 11101011000111100010011010010011000 19 19 24
11001111101001001100011000101011000 11101001111011100001100101100000100 20 20 25
10111100110011000110110010010100100 11100111100110000100111100011001000 19 19 25
11100111100010100100110101100100100 11101010110001101001100100101011000 19 19 25
11110100110100011100100100111000100 11110101001011010001101110010010000 21 21 25
11110001110001001011100111001001000 11011010010110010100111001001100100 22 22 23
11010111110000100100101100110110000 11111000011110010100110001101001000 21 21 26
11100110011010001101001100101110000 11010011100010111101001001010010100 20 21 26
11100111000011101010001110010010100 11110110001011000011010010101101000 20 20 27
