first	second	opt	dist	central	visited
111011010010100110111001000100100	110111110101011001000110001100000	16	16	22	218316824
110101010011101100101001010011000	111100100100110110001111000100100	18	18	23	287273824
110011001111000100110101100100100	101110010011111100000100111001000	18	18	22	271597744
111100110011001001001101100011000	101111001001111110011000000100100	20	20	22	285867328
111110100010100110011010001011000	111001110100010010111110011000000	18	18	22	260672392
111111100110010001001100100110000	101111000110111011000010010011000	20	20	24	287080368
110011001100111001010011010011000	111011100001100110001110011010000	20	21	24	287853656
111000111010110000111011001100000	101110011000110110100110100010100	19	19	23	269295208
110110100100110100111100100101000	111100011001100011110000111010000	19	19	23	283315712
110111010010011110100001001100100	111101001111001110001001001100000	19	20	24	287595424
111101001111101000010010011001000	111101101000101001110100001100100	17	17	22	276621344
101110011110001010011110000101000	111011010011011101000010010010100	19	19	22	290508000
111001001111000111001010010010100	110111100000111110001001100101000	18	18	22	279874688
111010110001100111010100011000100	111100011101001100001110010110000	21	21	24	287213360
101110010011011010011000111000100	110101001101101000111010100011000	15	15	21	202522496
111111100010001101000111000011000	110111010001010011101100010100100	19	19	23	285948736
101111000101101000111000101101000	111000110110001101110010010010100	18	19	24	266046896
101110010101001101111000010010100	110110100010111100010110100110000	19	19	24	289189024
110110010100111110100101100100000	111001110001001101101001001100100	19	19	21	289895032
111010010011110110101100001000100	101110110001010010110101001101000	19	19	21	275196736
110110101000111010110010011100000	111100010101110000111110010000100	20	20	21	289224736
110111100010010100110011101010000	110011110100110011010001010011000	18	19	22	275090424
111110001010100100110100111001000	110111101001000011011100100010100	16	16	23	220870968
111010011010110010010010110010100	111001101001010010101101100101000	18	18	24	265882880
111110110100100011000110011000100	111100010110111100010100001101000	21	22	25	285817496
111011100101010011001000110100100	111001110010011001101010100011000	21	21	24	286776752
110111001101010001001100110101000	111100110110000011110100010100100	16	16	22	182493064
101111000110101100010011010010100	111001001111100001100101001110000	16	16	20	211532472
111111001011000100010011110001000	111101001010100101100100110010100	16	16	24	212743376
111100101001111100000111001000100	110101001100111110000011001101000	19	20	22	289637440
111110000110101001010011100101000	111011101000100100110111000010100	18	18	23	282664592
110110011100100010101110100101000	110011100110001101011000111000100	18	18	24	254614880
111110110001001010101001100110000	111010111011101010001000001010100	18	19	22	280565528
101110011001001010111110001001000	111110101100001101001011011000000	17	18	22	232701136
111100101011000111000111000011000	110110101100010011101001001100100	18	18	23	288493960
111111000100100100111000111100000	110110001111000111010011010001000	18	18	23	271391864
111010011010001101011000111100000	111010101001110001100110001010100	16	16	22	231778432
110101001111000111100000111001000	111110010110010001110001001100100	18	18	21	285800472
111001111111000011100000110100000	101110011110010011011001000100100	21	21	22	289803224
101101100011010101101100010011000	111110100100111001100010010100100	17	17	21	241375312
110111000110001110010100101100100	111100101000111100101001010011000	19	19	24	285326864
111010001111001010100011010011000	111010101001101100010111000100100	19	19	23	284497528
111101000101111010010010010010100	111001010110100101010011001110000	17	17	21	251558816
111110001111000000111000110010100	111101010011001100100111000101000	18	18	23	276833512
111010011110100001110001001100100	111110110100010010011101001001000	20	20	24	288592736
111100011001110001001101001100100	111101100011010110001100101001000	18	18	24	281700976
110011111001001100100111000110000	111111010001010001101100010011000	19	19	24	288617904
110111101001000110100111000010100	111111000100101010010011010101000	21	21	24	286447024
110011001111110010110001000011000	111101110011000010101000111000100	19	19	23	285407600
111100011001001110110001001100100	111101010010011110001011001001000	21	22	24	287089320
111101001011000100110101001100100	111100101000111111000010011100000	18	18	22	272968776
111010011100010100110011001100100	111101101001000101001110010011000	16	16	24	243784136
110111000011011100010110001011000	111100110010100110100010110100100	20	20	24	285538472
110101001100110111110001100001000	111111000100100010111100001100100	18	18	23	261142512
111100100111000111100010101001000	111010101001010010111101000100100	19	20	25	287862568
110111001110001001111000100110000	111101010010100110010010110010100	20	20	23	288739304
111001100110010100110011101000100	111010101000111100100110100011000	17	17	23	266344576
111010111000011101011000110010000	111110000101001111000110011100000	17	17	22	257455184
111011010011000101001110100110000	111001011000111110000100110011000	17	17	21	255062712
111100010100111100010011001011000	111101100100111110001100100010000	19	21	22	288779496
111111000001010011001110100011000	101101001110110011000100111000100	16	16	22	197760304
110110100011110100011000110110000	111110011011000001001101101000100	20	20	23	286374776
111011010000111001011100100100100	111101000110001011110011000011000	15	15	24	156724624
111011100001110001011000101100100	111100111100001110000101100011000	19	19	24	284379040
