first	second	opt	dist	central	visited
11001110101100001010111010000	11010011001101110001010011000	16	16	20	20265312
11110100100110001110001110000	10111010011010101000110011000	16	16	21	21223624
10101010110011100110010010100	11101100001101011100100110000	16	16	21	21912544
11111010010100100110001110000	11100110001111001001100011000	16	16	20	21778136
11011100100101100011011000100	11010111110001000100110110000	15	15	18	20802760
11010011110001110001100100100	11001110010110001111000011000	15	15	18	21282440
11111000010110010011110000100	10111001011100001100101110000	14	14	18	20749304
11111010010001110001010010100	10111111101001011000010001000	15	15	18	20756344
11110100100101101001011000100	11100100111001010100110101000	14	14	18	18903144
10111100011101001001010011000	11001110100011110011000100100	19	19	20	21921048
11111000100110010100110101000	11010100111001001110100100100	16	16	20	21550608
11110010010011101000111000100	11011010100100101110100110000	16	18	21	21648024
10110011010100111101011000000	11100101001011101000101010100	15	15	18	19863960
11011110011000101000101100100	11100111001010001101011001000	18	19	21	21732064
11101010011001001100111001000	11101100100100111100100100100	16	16	20	21654552
11011001001110011010001100100	11110010101100001101101001000	18	18	19	21844040
11111001001010011110000100100	11110100100110100100111001000	14	14	19	21028296
11011110011010010010010101000	11100110011010101000101010100	15	16	19	20278808
11111001001001100010111001000	10110011110011001001001110000	15	15	19	19193480
11110001001110100011010011000	11011010010011101010010100100	16	16	19	21543208
11100110010110010011001110000	11101010100110100100110011000	13	13	18	17362136
10111011001100011010010010100	11101001100011110100001101000	16	16	19	21637352
11110010110010010011101001000	11101100010011001110001100100	18	18	21	21818904
11100111100001100100110101000	11111010001100110110010010000	16	16	20	21911368
11101001100111001001001101000	11011101000011001111001000100	18	18	20	21960128
11110011100101001010001010100	11011111001000110100110001000	19	20	21	21809832
11101001010110001110010011000	11010100110011010010101110000	14	14	19	20069520
11101001010011111000111000000	11110101010011000110011010000	14	14	18	20623168
11011001001110110100010011000	11100110110100001101110000100	18	18	20	21890816
11100011001111100100100110000	11010100111100011010011000100	15	15	19	21122280
11101001101001100101100100100	11101011000101110100001011000	15	15	19	21897504
11101010100110010010111010000	10111000111110010011001001000	17	18	20	21769272
11101010011011000011100011000	11110100101001100100111010000	15	15	20	20604320
11010100111101001001001110000	11100011111000111100000010100	14	14	19	19883352
11100111000010110111000011000	11101100100101010010111100000	14	15	21	16472720
11110010011001111000001101000	11010011001100110101010100100	16	17	20	21558928
11011000111011000100101100100	11110011100100011001010101000	16	16	19	21405536
11110101101000111000101010000	10110101110100011011100000100	14	15	16	17798368
11101001001111100001001011000	11110011100100110001010110000	15	15	19	21298944
11101001111000010010111000100	11011011000011100111000101000	16	16	20	21732776
10111111001000101101000010100	11111000001101010011110010000	15	15	19	19065336
10111001110000110111000100100	11110011100010010011100011000	14	14	18	16954296
11101000110011110100001101000	11100110001101001101010010100	14	14	20	17239576
11101010011100001110011010000	11100110100011010011001010100	15	15	20	20544848
11101110010100100110010011000	11011101000110011001100100100	16	16	19	21807584
11111010010010101001110000100	11100111100001011010010011000	14	14	18	20425008
11011001010100110010110010100	11110101000011111000110001000	13	13	19	17298232
11110100010011010011011010000	11110110100101001101001001000	15	15	19	18742760
11101001010110100101100100100	11100101101100001011101001000	14	14	18	20505936
11011000111111000010010011000	11110101010011001001010100100	15	15	18	22172408
10101100111001010100111000100	11100110111001100010100101000	17	17	19	22175336
11100101100011110001010010100	11011111100001000111000101000	16	16	19	21976672
11111100010110010000111001000	11011111001001001100100100100	18	19	21	21782408
10111010100111100001001110000	11100011011100111001001000100	18	18	19	22346296
11001111011010010100001011000	11101100010101001111010010000	17	17	18	21684336
11110000101110100011110001000	11110110100001101011000010100	15	15	21	19293144
11101011001010010111101000000	11101001110100110000111000100	18	19	20	22106832
11100111100101000010110100100	11111011001000110010001101000	16	16	21	20950912
11111001100011100010011000100	10111001100101010010110110000	15	15	19	20698136
10110100111010001010101101000	11010011101001110001011010000	14	14	20	18437800
11110001011001001111001001000	11101100110001011001001010100	14	14	18	20578208
11110010011010100100110011000	11101001100101101001001110000	15	15	18	20952864
11110100110001001100110101000	10110110001100111001001100100	16	17	21	20194888
11111010001110001001001100100	11100110001011111000010011000	15	15	20	20755120
11100011101001010011100101000	11101100100110011010001010100	15	15	20	20662456
11101011110100010000111001000	11100110011011001110101000000	18	19	19	21791656
11100011110011010100010100100	11110110001011100011001001000	15	15	20	20009936
10110110110000111000101010100	11111100000011111100010010000	15	15	17	19213984
11110000111110000110101001000	11111010110001001001100110000	14	15	19	17895832
11101001010011110011001000100	11110011001010011001001101000	17	17	19	21956208
11111100100011100000101110000	11101100110001001011101100000	15	15	21	18561472
11101001100110001110101001000	11110010011001101101010000100	16	16	19	21922480
11100110010011111100001001000	11111101001001100010010100100	15	15	17	22390896
11110100110110010010001110000	11011011000101010011101001000	17	17	18	21812496
11001100111010010011100010100	11101001110001001111100100000	16	16	18	21950320
11001111110010000111100100000	11110100111001001001100010100	17	17	19	21978000
